Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in contact with adult mental health services,31/08/2019,HM07,7
Total number of people in contact with adult mental health services,30/09/2019,HM07,6
Total number of people in contact with adult mental health services,31/10/2019,HM07,11
Total number of people in contact with adult mental health services,30/11/2019,HM07,9
Total number of people in contact with adult mental health services,31/12/2019,HM07,9
Total number of people in contact with adult mental health services,31/01/2020,HM07,6
Total number of people in contact with adult mental health services,29/02/2020,HM07,6
Total number of people in contact with adult mental health services,31/03/2020,HM07,7
Total number of people in contact with adult mental health services,30/04/2020,HM07,7
Total number of people in contact with adult mental health services,31/05/2020,HM07,8
Total number of people in contact with adult mental health services,30/06/2020,HM07,9
Total number of people in contact with adult mental health services,31/07/2020,HM07,9
Total number of people in contact with adult mental health services,31/08/2020,HM07,9
Total number of people in contact with adult mental health services,30/09/2020,HM07,8
Total number of people in contact with adult mental health services,31/10/2020,HM07,11
Total number of people in contact with adult mental health services,30/11/2020,HM07,13
Total number of people in contact with adult mental health services,31/12/2020,HM07,12
Total number of people in contact with adult mental health services,31/01/2021,HM07,12
Total number of people in contact with adult mental health services,31/01/2018,HS00,2
Total number of people in contact with adult mental health services,28/02/2018,HS00,2
Total number of people in contact with adult mental health services,31/03/2018,HS00,2
Total number of people in contact with adult mental health services,31/05/2018,HS00,2
Total number of people in contact with adult mental health services,31/07/2018,HS00,2
Total number of people in contact with adult mental health services,31/08/2018,HS00,2
Total number of people in contact with adult mental health services,30/09/2018,HS00,2
Total number of people in contact with adult mental health services,31/10/2018,HS00,2
Total number of people in contact with adult mental health services,30/11/2018,HS00,2
Total number of people in contact with adult mental health services,31/12/2018,HS00,2
Total number of people in contact with adult mental health services,31/01/2019,HS00,2
Total number of people in contact with adult mental health services,28/02/2019,HS00,2
Total number of people in contact with adult mental health services,31/03/2019,HS00,2
Total number of people in contact with adult mental health services,30/04/2019,HS00,2
Total number of people in contact with adult mental health services,31/05/2019,HS00,2
Total number of people in contact with adult mental health services,30/06/2019,HS00,2
Total number of people in contact with adult mental health services,31/07/2019,HS00,2
Total number of people in contact with adult mental health services,31/08/2019,HS00,2
Total number of people in contact with adult mental health services,30/09/2019,HS00,2
Total number of people in contact with adult mental health services,31/10/2019,HS00,2
Total number of people in contact with adult mental health services,30/11/2019,HS00,2
Total number of people in contact with adult mental health services,31/12/2019,HS00,2
Total number of people in contact with adult mental health services,31/01/2020,HS00,2
Total number of people in contact with adult mental health services,29/02/2020,HS00,2
Total number of people in contact with adult mental health services,31/03/2020,HS00,2
Total number of people in contact with adult mental health services,30/04/2020,HS00,2
Total number of people in contact with adult mental health services,31/05/2020,HS00,2
Total number of people in contact with adult mental health services,30/06/2020,HS00,2
Total number of people in contact with adult mental health services,31/07/2020,HS00,2
Total number of people in contact with adult mental health services,31/08/2020,HS00,2
Total number of people in contact with adult mental health services,30/09/2020,HS00,2
Total number of people in contact with adult mental health services,31/10/2020,HS00,2
Total number of people in contact with adult mental health services,30/11/2020,HS00,2
Total number of people in contact with adult mental health services,31/12/2020,HS00,2
Total number of people in contact with adult mental health services,31/01/2021,HS00,2
Total number of people in contact with adult mental health services,31/01/2018,HS01,31
Total number of people in contact with adult mental health services,28/02/2018,HS01,31
Total number of people in contact with adult mental health services,31/03/2018,HS01,37
Total number of people in contact with adult mental health services,31/05/2018,HS01,37
Total number of people in contact with adult mental health services,31/07/2018,HS01,36
Total number of people in contact with adult mental health services,31/08/2018,HS01,37
Total number of people in contact with adult mental health services,30/09/2018,HS01,39
Total number of people in contact with adult mental health services,31/10/2018,HS01,42
Total number of people in contact with adult mental health services,30/11/2018,HS01,45
Total number of people in contact with adult mental health services,31/12/2018,HS01,45
Total number of people in contact with adult mental health services,31/01/2019,HS01,44
Total number of people in contact with adult mental health services,28/02/2019,HS01,41
Total number of people in contact with adult mental health services,31/03/2019,HS01,42
Total number of people in contact with adult mental health services,30/04/2019,HS01,46
Total number of people in contact with adult mental health services,31/05/2019,HS01,41
Total number of people in contact with adult mental health services,30/06/2019,HS01,42
Total number of people in contact with adult mental health services,31/07/2019,HS01,46
Total number of people in contact with adult mental health services,31/08/2019,HS01,47
Total number of people in contact with adult mental health services,30/09/2019,HS01,44
Total number of people in contact with adult mental health services,31/10/2019,HS01,45
Total number of people in contact with adult mental health services,30/11/2019,HS01,46
Total number of people in contact with adult mental health services,31/12/2019,HS01,47
Total number of people in contact with adult mental health services,31/01/2020,HS01,47
Total number of people in contact with adult mental health services,29/02/2020,HS01,47
Total number of people in contact with adult mental health services,31/03/2020,HS01,47
Total number of people in contact with adult mental health services,30/04/2020,HS01,45
Total number of people in contact with adult mental health services,31/05/2020,HS01,44
Total number of people in contact with adult mental health services,30/06/2020,HS01,47
Total number of people in contact with adult mental health services,31/07/2020,HS01,47
Total number of people in contact with adult mental health services,31/08/2020,HS01,41
Total number of people in contact with adult mental health services,30/09/2020,HS01,42
Total number of people in contact with adult mental health services,31/10/2020,HS01,42
Total number of people in contact with adult mental health services,30/11/2020,HS01,42
Total number of people in contact with adult mental health services,31/12/2020,HS01,42
Total number of people in contact with adult mental health services,31/01/2021,HS01,38
Total number of people in contact with adult mental health services,31/01/2018,HS02,28
Total number of people in contact with adult mental health services,28/02/2018,HS02,28
Total number of people in contact with adult mental health services,31/03/2018,HS02,28
Total number of people in contact with adult mental health services,31/05/2018,HS02,30
Total number of people in contact with adult mental health services,31/07/2018,HS02,28
Total number of people in contact with adult mental health services,31/08/2018,HS02,31
Total number of people in contact with adult mental health services,30/09/2018,HS02,30
Total number of people in contact with adult mental health services,31/10/2018,HS02,33
Total number of people in contact with adult mental health services,30/11/2018,HS02,33
Total number of people in contact with adult mental health services,31/12/2018,HS02,35
Total number of people in contact with adult mental health services,31/01/2019,HS02,33
Total number of people in contact with adult mental health services,28/02/2019,HS02,29
Total number of people in contact with adult mental health services,31/03/2019,HS02,29
Total number of people in contact with adult mental health services,30/04/2019,HS02,30
Total number of people in contact with adult mental health services,31/05/2019,HS02,32
Total number of people in contact with adult mental health services,30/06/2019,HS02,31
Total number of people in contact with adult mental health services,31/07/2019,HS02,36
Total number of people in contact with adult mental health services,31/08/2019,HS02,36
Total number of people in contact with adult mental health services,30/09/2019,HS02,35
Total number of people in contact with adult mental health services,31/10/2019,HS02,36
Total number of people in contact with adult mental health services,30/11/2019,HS02,35
Total number of people in contact with adult mental health services,31/12/2019,HS02,35
Total number of people in contact with adult mental health services,31/01/2020,HS02,35
Total number of people in contact with adult mental health services,29/02/2020,HS02,32
Total number of people in contact with adult mental health services,31/03/2020,HS02,30
Total number of people in contact with adult mental health services,30/04/2020,HS02,30
Total number of people in contact with adult mental health services,31/05/2020,HS02,30
Total number of people in contact with adult mental health services,30/06/2020,HS02,31
Total number of people in contact with adult mental health services,31/07/2020,HS02,31
Total number of people in contact with adult mental health services,31/08/2020,HS02,33
Total number of people in contact with adult mental health services,30/09/2020,HS02,31
Total number of people in contact with adult mental health services,31/10/2020,HS02,33
Total number of people in contact with adult mental health services,30/11/2020,HS02,34
Total number of people in contact with adult mental health services,31/12/2020,HS02,35
Total number of people in contact with adult mental health services,31/01/2021,HS02,33
Total number of people in contact with adult mental health services,31/01/2018,HS03,54
Total number of people in contact with adult mental health services,28/02/2018,HS03,47
Total number of people in contact with adult mental health services,31/03/2018,HS03,45
Total number of people in contact with adult mental health services,31/05/2018,HS03,44
Total number of people in contact with adult mental health services,31/07/2018,HS03,42
Total number of people in contact with adult mental health services,31/08/2018,HS03,42
Total number of people in contact with adult mental health services,30/09/2018,HS03,45
Total number of people in contact with adult mental health services,31/10/2018,HS03,48
Total number of people in contact with adult mental health services,30/11/2018,HS03,46
Total number of people in contact with adult mental health services,31/12/2018,HS03,47
Total number of people in contact with adult mental health services,31/01/2019,HS03,48
Total number of people in contact with adult mental health services,28/02/2019,HS03,46
Total number of people in contact with adult mental health services,31/03/2019,HS03,45
Total number of people in contact with adult mental health services,30/04/2019,HS03,49
Total number of people in contact with adult mental health services,31/05/2019,HS03,50
Total number of people in contact with adult mental health services,30/06/2019,HS03,48
Total number of people in contact with adult mental health services,31/07/2019,HS03,56
Total number of people in contact with adult mental health services,31/08/2019,HS03,55
Total number of people in contact with adult mental health services,30/09/2019,HS03,54
Total number of people in contact with adult mental health services,31/10/2019,HS03,52
Total number of people in contact with adult mental health services,30/11/2019,HS03,53
Total number of people in contact with adult mental health services,31/12/2019,HS03,54
Total number of people in contact with adult mental health services,31/01/2020,HS03,51
Total number of people in contact with adult mental health services,29/02/2020,HS03,49
Total number of people in contact with adult mental health services,31/03/2020,HS03,48
Total number of people in contact with adult mental health services,30/04/2020,HS03,48
Total number of people in contact with adult mental health services,31/05/2020,HS03,47
Total number of people in contact with adult mental health services,30/06/2020,HS03,50
Total number of people in contact with adult mental health services,31/07/2020,HS03,50
Total number of people in contact with adult mental health services,31/08/2020,HS03,51
Total number of people in contact with adult mental health services,30/09/2020,HS03,49
Total number of people in contact with adult mental health services,31/10/2020,HS03,51
Total number of people in contact with adult mental health services,30/11/2020,HS03,50
Total number of people in contact with adult mental health services,31/12/2020,HS03,50
Total number of people in contact with adult mental health services,31/01/2021,HS03,52
Total number of people in contact with adult mental health services,31/01/2018,HS04,92
Total number of people in contact with adult mental health services,28/02/2018,HS04,94
Total number of people in contact with adult mental health services,31/03/2018,HS04,91
Total number of people in contact with adult mental health services,31/05/2018,HS04,91
Total number of people in contact with adult mental health services,31/07/2018,HS04,95
Total number of people in contact with adult mental health services,31/08/2018,HS04,100
Total number of people in contact with adult mental health services,30/09/2018,HS04,99
Total number of people in contact with adult mental health services,31/10/2018,HS04,95
Total number of people in contact with adult mental health services,30/11/2018,HS04,93
Total number of people in contact with adult mental health services,31/12/2018,HS04,96
Total number of people in contact with adult mental health services,31/01/2019,HS04,97
Total number of people in contact with adult mental health services,28/02/2019,HS04,98
Total number of people in contact with adult mental health services,31/03/2019,HS04,96
Total number of people in contact with adult mental health services,30/04/2019,HS04,98
Total number of people in contact with adult mental health services,31/05/2019,HS04,97
Total number of people in contact with adult mental health services,30/06/2019,HS04,95
Total number of people in contact with adult mental health services,31/07/2019,HS04,111
Total number of people in contact with adult mental health services,31/08/2019,HS04,110
Total number of people in contact with adult mental health services,30/09/2019,HS04,107
Total number of people in contact with adult mental health services,31/10/2019,HS04,108
Total number of people in contact with adult mental health services,30/11/2019,HS04,106
Total number of people in contact with adult mental health services,31/12/2019,HS04,105
Total number of people in contact with adult mental health services,31/01/2020,HS04,104
Total number of people in contact with adult mental health services,29/02/2020,HS04,103
Total number of people in contact with adult mental health services,31/03/2020,HS04,102
Total number of people in contact with adult mental health services,30/04/2020,HS04,101
Total number of people in contact with adult mental health services,31/05/2020,HS04,102
Total number of people in contact with adult mental health services,30/06/2020,HS04,102
Total number of people in contact with adult mental health services,31/07/2020,HS04,102
Total number of people in contact with adult mental health services,31/08/2020,HS04,103
Total number of people in contact with adult mental health services,30/09/2020,HS04,100
Total number of people in contact with adult mental health services,31/10/2020,HS04,100
Total number of people in contact with adult mental health services,30/11/2020,HS04,102
Total number of people in contact with adult mental health services,31/12/2020,HS04,102
Total number of people in contact with adult mental health services,31/01/2021,HS04,100
Total number of people in contact with adult mental health services,31/01/2018,HS05,16
Total number of people in contact with adult mental health services,28/02/2018,HS05,17
Total number of people in contact with adult mental health services,31/03/2018,HS05,16
Total number of people in contact with adult mental health services,31/05/2018,HS05,15
Total number of people in contact with adult mental health services,31/07/2018,HS05,15
Total number of people in contact with adult mental health services,31/08/2018,HS05,15
Total number of people in contact with adult mental health services,30/09/2018,HS05,17
Total number of people in contact with adult mental health services,31/10/2018,HS05,16
Total number of people in contact with adult mental health services,30/11/2018,HS05,18
Total number of people in contact with adult mental health services,31/12/2018,HS05,16
Total number of people in contact with adult mental health services,31/01/2019,HS05,13
Total number of people in contact with adult mental health services,28/02/2019,HS05,13
Total number of people in contact with adult mental health services,31/03/2019,HS05,14
Total number of people in contact with adult mental health services,30/04/2019,HS05,14
Total number of people in contact with adult mental health services,31/05/2019,HS05,16
Total number of people in contact with adult mental health services,30/06/2019,HS05,16
Total number of people in contact with adult mental health services,31/07/2019,HS05,17
Total number of people in contact with adult mental health services,31/08/2019,HS05,17
Total number of people in contact with adult mental health services,30/09/2019,HS05,20
Total number of people in contact with adult mental health services,31/10/2019,HS05,20
Total number of people in contact with adult mental health services,30/11/2019,HS05,20
Total number of people in contact with adult mental health services,31/12/2019,HS05,20
Total number of people in contact with adult mental health services,31/01/2020,HS05,19
Total number of people in contact with adult mental health services,29/02/2020,HS05,18
Total number of people in contact with adult mental health services,31/03/2020,HS05,19
Total number of people in contact with adult mental health services,30/04/2020,HS05,17
Total number of people in contact with adult mental health services,31/05/2020,HS05,16
Total number of people in contact with adult mental health services,30/06/2020,HS05,17
Total number of people in contact with adult mental health services,31/07/2020,HS05,17
Total number of people in contact with adult mental health services,31/08/2020,HS05,19
Total number of people in contact with adult mental health services,30/09/2020,HS05,19
Total number of people in contact with adult mental health services,31/10/2020,HS05,17
Total number of people in contact with adult mental health services,30/11/2020,HS05,21
Total number of people in contact with adult mental health services,31/12/2020,HS05,20
Total number of people in contact with adult mental health services,31/01/2021,HS05,18
Total number of people in contact with adult mental health services,31/01/2018,HS09,44
Total number of people in contact with adult mental health services,28/02/2018,HS09,42
Total number of people in contact with adult mental health services,31/03/2018,HS09,43
Total number of people in contact with adult mental health services,31/05/2018,HS09,46
Total number of people in contact with adult mental health services,31/07/2018,HS09,45
Total number of people in contact with adult mental health services,31/08/2018,HS09,49
Total number of people in contact with adult mental health services,30/09/2018,HS09,51
Total number of people in contact with adult mental health services,31/10/2018,HS09,50
Total number of people in contact with adult mental health services,30/11/2018,HS09,49
Total number of people in contact with adult mental health services,31/12/2018,HS09,47
Total number of people in contact with adult mental health services,31/01/2019,HS09,49
Total number of people in contact with adult mental health services,28/02/2019,HS09,49
Total number of people in contact with adult mental health services,31/03/2019,HS09,47
Total number of people in contact with adult mental health services,30/04/2019,HS09,43
Total number of people in contact with adult mental health services,31/05/2019,HS09,42
Total number of people in contact with adult mental health services,30/06/2019,HS09,43
Total number of people in contact with adult mental health services,31/07/2019,HS09,52
Total number of people in contact with adult mental health services,31/08/2019,HS09,55
Total number of people in contact with adult mental health services,30/09/2019,HS09,52
Total number of people in contact with adult mental health services,31/10/2019,HS09,58
Total number of people in contact with adult mental health services,30/11/2019,HS09,59
Total number of people in contact with adult mental health services,31/12/2019,HS09,58
Total number of people in contact with adult mental health services,31/01/2020,HS09,57
Total number of people in contact with adult mental health services,29/02/2020,HS09,56
Total number of people in contact with adult mental health services,31/03/2020,HS09,57
Total number of people in contact with adult mental health services,30/04/2020,HS09,55
Total number of people in contact with adult mental health services,31/05/2020,HS09,54
Total number of people in contact with adult mental health services,30/06/2020,HS09,54
Total number of people in contact with adult mental health services,31/07/2020,HS09,59
Total number of people in contact with adult mental health services,31/08/2020,HS09,52
Total number of people in contact with adult mental health services,30/09/2020,HS09,52
Total number of people in contact with adult mental health services,31/10/2020,HS09,52
Total number of people in contact with adult mental health services,30/11/2020,HS09,50
Total number of people in contact with adult mental health services,31/12/2020,HS09,48
Total number of people in contact with adult mental health services,31/01/2021,HS09,49
Total number of people in contact with adult mental health services,31/01/2018,MA00,2080
Total number of people in contact with adult mental health services,28/02/2018,MA00,2087
Total number of people in contact with adult mental health services,31/03/2018,MA00,2180
Total number of people in contact with adult mental health services,31/05/2018,MA00,2269
Total number of people in contact with adult mental health services,31/07/2018,MA00,2313
Total number of people in contact with adult mental health services,31/08/2018,MA00,2345
Total number of people in contact with adult mental health services,30/09/2018,MA00,2369
Total number of people in contact with adult mental health services,31/10/2018,MA00,2423
Total number of people in contact with adult mental health services,30/11/2018,MA00,2447
Total number of people in contact with adult mental health services,31/12/2018,MA00,2432
Total number of people in contact with adult mental health services,31/01/2019,MA00,2412
Total number of people in contact with adult mental health services,28/02/2019,MA00,2314
Total number of people in contact with adult mental health services,31/03/2019,MA00,2308
Total number of people in contact with adult mental health services,30/04/2019,MA00,2359
Total number of people in contact with adult mental health services,31/05/2019,MA00,2525
Total number of people in contact with adult mental health services,30/06/2019,MA00,2571
Total number of people in contact with adult mental health services,31/07/2019,MA00,3278
Total number of people in contact with adult mental health services,31/08/2019,MA00,3294
Total number of people in contact with adult mental health services,30/09/2019,MA00,2786
Total number of people in contact with adult mental health services,31/10/2019,MA00,3359
Total number of people in contact with adult mental health services,30/11/2019,MA00,3362
Total number of people in contact with adult mental health services,31/12/2019,MA00,3344
Total number of people in contact with adult mental health services,31/01/2020,MA00,3394
Total number of people in contact with adult mental health services,29/02/2020,MA00,3381
Total number of people in contact with adult mental health services,31/03/2020,MA00,3291
Total number of people in contact with adult mental health services,30/04/2020,MA00,3132
Total number of people in contact with adult mental health services,31/05/2020,MA00,3148
Total number of people in contact with adult mental health services,30/06/2020,MA00,3195
Total number of people in contact with adult mental health services,31/07/2020,MA00,3246
Total number of people in contact with adult mental health services,31/08/2020,MA00,3209
Total number of people in contact with adult mental health services,30/09/2020,MA00,3196
Total number of people in contact with adult mental health services,31/10/2020,MA00,3172
Total number of people in contact with adult mental health services,30/11/2020,MA00,3160
Total number of people in contact with adult mental health services,31/12/2020,MA00,3129
Total number of people in contact with adult mental health services,31/01/2021,MA00,3101
Total number of people in contact with adult mental health services,31/01/2018,MA01,2779
Total number of people in contact with adult mental health services,28/02/2018,MA01,2735
Total number of people in contact with adult mental health services,31/03/2018,MA01,2704
Total number of people in contact with adult mental health services,31/05/2018,MA01,2714
Total number of people in contact with adult mental health services,31/07/2018,MA01,2797
Total number of people in contact with adult mental health services,31/08/2018,MA01,2863
Total number of people in contact with adult mental health services,30/09/2018,MA01,2838
Total number of people in contact with adult mental health services,31/10/2018,MA01,2822
Total number of people in contact with adult mental health services,30/11/2018,MA01,2805
Total number of people in contact with adult mental health services,31/12/2018,MA01,2744
Total number of people in contact with adult mental health services,31/01/2019,MA01,2762
Total number of people in contact with adult mental health services,28/02/2019,MA01,2741
Total number of people in contact with adult mental health services,31/03/2019,MA01,2722
Total number of people in contact with adult mental health services,30/04/2019,MA01,2696
Total number of people in contact with adult mental health services,31/05/2019,MA01,2737
Total number of people in contact with adult mental health services,30/06/2019,MA01,2694
Total number of people in contact with adult mental health services,31/07/2019,MA01,3755
Total number of people in contact with adult mental health services,31/08/2019,MA01,3713
Total number of people in contact with adult mental health services,30/09/2019,MA01,3623
Total number of people in contact with adult mental health services,31/10/2019,MA01,3695
Total number of people in contact with adult mental health services,30/11/2019,MA01,3685
Total number of people in contact with adult mental health services,31/12/2019,MA01,3636
Total number of people in contact with adult mental health services,31/01/2020,MA01,3636
Total number of people in contact with adult mental health services,29/02/2020,MA01,3574
Total number of people in contact with adult mental health services,31/03/2020,MA01,3494
Total number of people in contact with adult mental health services,30/04/2020,MA01,3343
Total number of people in contact with adult mental health services,31/05/2020,MA01,3234
Total number of people in contact with adult mental health services,30/06/2020,MA01,3224
Total number of people in contact with adult mental health services,31/07/2020,MA01,3256
Total number of people in contact with adult mental health services,31/08/2020,MA01,3249
Total number of people in contact with adult mental health services,30/09/2020,MA01,3295
Total number of people in contact with adult mental health services,31/10/2020,MA01,3354
Total number of people in contact with adult mental health services,30/11/2020,MA01,3313
Total number of people in contact with adult mental health services,31/12/2020,MA01,3291
Total number of people in contact with adult mental health services,31/01/2021,MA01,3291
Total number of people in contact with adult mental health services,31/01/2018,MA02,1656
Total number of people in contact with adult mental health services,28/02/2018,MA02,1666
Total number of people in contact with adult mental health services,31/03/2018,MA02,1694
Total number of people in contact with adult mental health services,31/05/2018,MA02,1694
Total number of people in contact with adult mental health services,31/07/2018,MA02,1737
Total number of people in contact with adult mental health services,31/08/2018,MA02,1724
Total number of people in contact with adult mental health services,30/09/2018,MA02,1732
Total number of people in contact with adult mental health services,31/10/2018,MA02,1792
Total number of people in contact with adult mental health services,30/11/2018,MA02,1789
Total number of people in contact with adult mental health services,31/12/2018,MA02,1814
Total number of people in contact with adult mental health services,31/01/2019,MA02,1848
Total number of people in contact with adult mental health services,28/02/2019,MA02,1860
Total number of people in contact with adult mental health services,31/03/2019,MA02,1877
Total number of people in contact with adult mental health services,30/04/2019,MA02,1919
Total number of people in contact with adult mental health services,31/05/2019,MA02,1976
Total number of people in contact with adult mental health services,30/06/2019,MA02,2008
Total number of people in contact with adult mental health services,31/07/2019,MA02,2373
Total number of people in contact with adult mental health services,31/08/2019,MA02,2343
Total number of people in contact with adult mental health services,30/09/2019,MA02,904
Total number of people in contact with adult mental health services,31/10/2019,MA02,2374
Total number of people in contact with adult mental health services,30/11/2019,MA02,2427
Total number of people in contact with adult mental health services,31/12/2019,MA02,2408
Total number of people in contact with adult mental health services,31/01/2020,MA02,2455
Total number of people in contact with adult mental health services,29/02/2020,MA02,2414
Total number of people in contact with adult mental health services,31/03/2020,MA02,2370
Total number of people in contact with adult mental health services,30/04/2020,MA02,2283
Total number of people in contact with adult mental health services,31/05/2020,MA02,2270
Total number of people in contact with adult mental health services,30/06/2020,MA02,2291
Total number of people in contact with adult mental health services,31/07/2020,MA02,2337
Total number of people in contact with adult mental health services,31/08/2020,MA02,2293
Total number of people in contact with adult mental health services,30/09/2020,MA02,2305
Total number of people in contact with adult mental health services,31/10/2020,MA02,2360
Total number of people in contact with adult mental health services,30/11/2020,MA02,2359
Total number of people in contact with adult mental health services,31/12/2020,MA02,2315
Total number of people in contact with adult mental health services,31/01/2021,MA02,2300
Total number of people in contact with adult mental health services,31/01/2018,MA03,16
Total number of people in contact with adult mental health services,28/02/2018,MA03,16
Total number of people in contact with adult mental health services,31/03/2018,MA03,15
Total number of people in contact with adult mental health services,31/05/2018,MA03,16
Total number of people in contact with adult mental health services,31/07/2018,MA03,14
Total number of people in contact with adult mental health services,31/08/2018,MA03,13
Total number of people in contact with adult mental health services,30/09/2018,MA03,12
Total number of people in contact with adult mental health services,31/10/2018,MA03,12
Total number of people in contact with adult mental health services,30/11/2018,MA03,12
Total number of people in contact with adult mental health services,31/12/2018,MA03,12
Total number of people in contact with adult mental health services,31/01/2019,MA03,11
Total number of people in contact with adult mental health services,28/02/2019,MA03,10
Total number of people in contact with adult mental health services,31/03/2019,MA03,11
Total number of people in contact with adult mental health services,30/04/2019,MA03,11
Total number of people in contact with adult mental health services,31/05/2019,MA03,12
Total number of people in contact with adult mental health services,30/06/2019,MA03,12
Total number of people in contact with adult mental health services,31/07/2019,MA03,17
Total number of people in contact with adult mental health services,31/08/2019,MA03,16
Total number of people in contact with adult mental health services,30/09/2019,MA03,11
Total number of people in contact with adult mental health services,31/10/2019,MA03,16
Total number of people in contact with adult mental health services,30/11/2019,MA03,14
Total number of people in contact with adult mental health services,31/12/2019,MA03,14
Total number of people in contact with adult mental health services,31/01/2020,MA03,12
Total number of people in contact with adult mental health services,29/02/2020,MA03,13
Total number of people in contact with adult mental health services,31/03/2020,MA03,11
Total number of people in contact with adult mental health services,30/04/2020,MA03,9
Total number of people in contact with adult mental health services,31/05/2020,MA03,8
Total number of people in contact with adult mental health services,30/06/2020,MA03,8
Total number of people in contact with adult mental health services,31/07/2020,MA03,10
Total number of people in contact with adult mental health services,31/08/2020,MA03,11
Total number of people in contact with adult mental health services,30/09/2020,MA03,10
Total number of people in contact with adult mental health services,31/10/2020,MA03,8
Total number of people in contact with adult mental health services,30/11/2020,MA03,10
Total number of people in contact with adult mental health services,31/12/2020,MA03,11
Total number of people in contact with adult mental health services,31/01/2021,MA03,10
Total number of people in contact with adult mental health services,31/01/2018,MA04,859
Total number of people in contact with adult mental health services,28/02/2018,MA04,836
Total number of people in contact with adult mental health services,31/03/2018,MA04,838
Total number of people in contact with adult mental health services,31/05/2018,MA04,813
Total number of people in contact with adult mental health services,31/07/2018,MA04,799
Total number of people in contact with adult mental health services,31/08/2018,MA04,789
Total number of people in contact with adult mental health services,30/09/2018,MA04,789
Total number of people in contact with adult mental health services,31/10/2018,MA04,779
Total number of people in contact with adult mental health services,30/11/2018,MA04,778
Total number of people in contact with adult mental health services,31/12/2018,MA04,771
Total number of people in contact with adult mental health services,31/01/2019,MA04,765
Total number of people in contact with adult mental health services,28/02/2019,MA04,754
Total number of people in contact with adult mental health services,31/03/2019,MA04,760
Total number of people in contact with adult mental health services,30/04/2019,MA04,760
Total number of people in contact with adult mental health services,31/05/2019,MA04,768
Total number of people in contact with adult mental health services,30/06/2019,MA04,770
Total number of people in contact with adult mental health services,31/07/2019,MA04,956
Total number of people in contact with adult mental health services,31/08/2019,MA04,949
Total number of people in contact with adult mental health services,30/09/2019,MA04,916
Total number of people in contact with adult mental health services,31/10/2019,MA04,953
Total number of people in contact with adult mental health services,30/11/2019,MA04,961
Total number of people in contact with adult mental health services,31/12/2019,MA04,927
Total number of people in contact with adult mental health services,31/01/2020,MA04,945
Total number of people in contact with adult mental health services,29/02/2020,MA04,941
Total number of people in contact with adult mental health services,31/03/2020,MA04,924
Total number of people in contact with adult mental health services,30/04/2020,MA04,895
Total number of people in contact with adult mental health services,31/05/2020,MA04,872
Total number of people in contact with adult mental health services,30/06/2020,MA04,888
Total number of people in contact with adult mental health services,31/07/2020,MA04,901
Total number of people in contact with adult mental health services,31/08/2020,MA04,869
Total number of people in contact with adult mental health services,30/09/2020,MA04,877
Total number of people in contact with adult mental health services,31/10/2020,MA04,858
Total number of people in contact with adult mental health services,30/11/2020,MA04,869
Total number of people in contact with adult mental health services,31/12/2020,MA04,865
Total number of people in contact with adult mental health services,31/01/2021,MA04,862
Total number of people in contact with adult mental health services,31/01/2018,MA05,1426
Total number of people in contact with adult mental health services,28/02/2018,MA05,1448
Total number of people in contact with adult mental health services,31/03/2018,MA05,1468
Total number of people in contact with adult mental health services,31/05/2018,MA05,1468
Total number of people in contact with adult mental health services,31/07/2018,MA05,1461
Total number of people in contact with adult mental health services,31/08/2018,MA05,1447
Total number of people in contact with adult mental health services,30/09/2018,MA05,1457
Total number of people in contact with adult mental health services,31/10/2018,MA05,1440
Total number of people in contact with adult mental health services,30/11/2018,MA05,1441
Total number of people in contact with adult mental health services,31/12/2018,MA05,1427
Total number of people in contact with adult mental health services,31/01/2019,MA05,1413
Total number of people in contact with adult mental health services,28/02/2019,MA05,1407
Total number of people in contact with adult mental health services,31/03/2019,MA05,1395
Total number of people in contact with adult mental health services,30/04/2019,MA05,1401
Total number of people in contact with adult mental health services,31/05/2019,MA05,1404
Total number of people in contact with adult mental health services,30/06/2019,MA05,1401
Total number of people in contact with adult mental health services,31/07/2019,MA05,1670
Total number of people in contact with adult mental health services,31/08/2019,MA05,1656
Total number of people in contact with adult mental health services,30/09/2019,MA05,1623
Total number of people in contact with adult mental health services,31/10/2019,MA05,1696
Total number of people in contact with adult mental health services,30/11/2019,MA05,1697
Total number of people in contact with adult mental health services,31/12/2019,MA05,1677
Total number of people in contact with adult mental health services,31/01/2020,MA05,1693
Total number of people in contact with adult mental health services,29/02/2020,MA05,1708
Total number of people in contact with adult mental health services,31/03/2020,MA05,1681
Total number of people in contact with adult mental health services,30/04/2020,MA05,1641
Total number of people in contact with adult mental health services,31/05/2020,MA05,1632
Total number of people in contact with adult mental health services,30/06/2020,MA05,1641
Total number of people in contact with adult mental health services,31/07/2020,MA05,1644
Total number of people in contact with adult mental health services,31/08/2020,MA05,1668
Total number of people in contact with adult mental health services,30/09/2020,MA05,1671
Total number of people in contact with adult mental health services,31/10/2020,MA05,1678
Total number of people in contact with adult mental health services,30/11/2020,MA05,1673
Total number of people in contact with adult mental health services,31/12/2020,MA05,1680
Total number of people in contact with adult mental health services,31/01/2021,MA05,1691
Total number of people in contact with adult mental health services,31/01/2018,MA06,554
Total number of people in contact with adult mental health services,28/02/2018,MA06,560
Total number of people in contact with adult mental health services,31/03/2018,MA06,570
